Country Code,City,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Price range,Aggregate rating,Votes
1,New Delhi,77.2044507,28.6968859,"Ice Cream, Desserts",150,Indian Rupees(Rs.),No,No,1,3.7,93
1,Pune,73.7735722,18.5927182,North Indian,1000,Indian Rupees(Rs.),Yes,No,3,4.4,208
1,New Delhi,77.11487744,28.6393819,"Ice Cream, Desserts",200,Indian Rupees(Rs.),No,No,1,3.5,21
1,New Delhi,77.1423902,28.6529002,"North Indian, Chinese, Continental",1200,Indian Rupees(Rs.),Yes,No,3,2.8,15
1,Noida,77.32454438,28.56857349,"American, Italian",1500,Indian Rupees(Rs.),Yes,No,3,2.6,521
1,New Delhi,77.2300185,28.6079765,"North Indian, Mughlai, Chinese",1700,Indian Rupees(Rs.),Yes,Yes,3,3.8,337
1,New Delhi,77.2271781,28.6563302,"North Indian, South Indian",300,Indian Rupees(Rs.),No,No,1,2.8,4
216,Gainesville,-83.986119,34.533198,"Bar Food, Seafood, Vegetarian",25,Dollar($),No,No,2,4.1,171
1,Lucknow,81.0011849,26.8528099,"Cafe, Italian, Continental",800,Indian Rupees(Rs.),No,No,3,4.6,567
1,New Delhi,77.1818906,28.5227376,North Indian,250,Indian Rupees(Rs.),No,No,1,2.9,9
1,New Delhi,77.18608741,28.54186954,"North Indian, Chinese",150,Indian Rupees(Rs.),No,No,1,0,0
30,Rio de Janeiro,-43.17583333,-22.96216667,"Beverages, Bar Food, Fast Food",90,Brazilian Real(R$),No,No,3,4.5,29
1,New Delhi,77.2047215,28.6934181,"Chinese, Thai, Tibetan, Japanese",800,Indian Rupees(Rs.),No,Yes,2,3.9,419
216,Augusta,-82.0327,33.4086,BBQ,25,Dollar($),No,No,2,3.5,304
1,New Delhi,77.06082389,28.6743958,North Indian,100,Indian Rupees(Rs.),No,No,1,0,1
215,Edinburgh,-3.199521,55.95404,Mexican,30,Pounds(?œ),No,No,3,3.8,31
1,New Delhi,77.0909455,28.5871261,"Pizza, Fast Food",500,Indian Rupees(Rs.),No,Yes,2,0,2
1,New Delhi,77.2305318,28.6081696,North Indian,1600,Indian Rupees(Rs.),Yes,No,3,4.4,64
1,New Delhi,77.2300888,28.5438243,"Fast Food, North Indian",400,Indian Rupees(Rs.),No,No,1,3.3,46
1,New Delhi,77.18569312,28.54150757,"Chinese, North Indian, South Indian",200,Indian Rupees(Rs.),No,No,1,0,0
1,Gurgaon,77.0940831,28.4663219,"Tibetan, Nepalese",850,Indian Rupees(Rs.),No,Yes,2,3.6,241
1,Gurgaon,77.0888677,28.4953148,"Ice Cream, Desserts",400,Indian Rupees(Rs.),No,Yes,1,3.6,455
1,New Delhi,77.0686475,28.6062929,Street Food,50,Indian Rupees(Rs.),No,No,1,0,1
1,New Delhi,77.2806012,28.5370818,"Mughlai, North Indian, Chinese",500,Indian Rupees(Rs.),No,No,2,3.2,18
1,New Delhi,77.2526836,28.5487963,"North Indian, Chinese",1000,Indian Rupees(Rs.),Yes,Yes,3,3.1,14
1,New Delhi,77.2430561,28.5751889,Street Food,100,Indian Rupees(Rs.),No,No,1,0,1
1,New Delhi,77.119028,28.6344547,"Fast Food, North Indian",250,Indian Rupees(Rs.),No,No,1,3,6
1,Noida,77.4043548,28.4990685,Beverages,100,Indian Rupees(Rs.),No,No,1,0,1
1,Dehradun,0,0,Cafe,400,Indian Rupees(Rs.),No,No,2,3.9,39
1,Chennai,80.17456822,13.02627908,"North Indian, Mughlai, Chinese, South Indian",850,Indian Rupees(Rs.),Yes,Yes,2,4.4,645
216,Valdosta,-83.318554,30.841892,"Asian, Chinese, Thai",35,Dollar($),No,No,3,3.8,185
1,Amritsar,74.87461944,31.62394722,"Fast Food, North Indian",500,Indian Rupees(Rs.),No,No,2,3.7,94
1,Noida,77.3992328,28.585231,"Fast Food, North Indian, South Indian",400,Indian Rupees(Rs.),No,No,1,0,1
1,Gurgaon,77.0196893,28.4653555,"Fast Food, Chinese",200,Indian Rupees(Rs.),No,Yes,1,3.4,27
1,New Delhi,77.12881389,28.54953611,"North Indian, Chinese, Fast Food",500,Indian Rupees(Rs.),No,No,2,0,1
1,New Delhi,77.2530302,28.5393728,Cafe,450,Indian Rupees(Rs.),No,No,1,0,1
1,Kolkata,88.3223365,22.5389989,"Biryani, North Indian, Chinese, Mughlai",800,Indian Rupees(Rs.),Yes,Yes,2,4.6,1219
1,New Delhi,77.2333916,28.6493023,North Indian,400,Indian Rupees(Rs.),No,No,1,0,0
1,New Delhi,77.2723274,28.6589025,North Indian,400,Indian Rupees(Rs.),No,No,1,3.2,30
1,New Delhi,77.1076479,28.6389889,"North Indian, Mughlai",600,Indian Rupees(Rs.),No,No,2,3.1,11
1,Noida,77.37371799,28.62667926,"Fast Food, Beverages",200,Indian Rupees(Rs.),No,Yes,1,3.4,16
1,New Delhi,0,0,"Chinese, Fast Food, Ice Cream",200,Indian Rupees(Rs.),No,No,1,3.3,11
1,New Delhi,77.2386784,28.5370786,"North Indian, Continental, Chinese",1550,Indian Rupees(Rs.),Yes,Yes,3,3.8,302
1,Gurgaon,77.0633149,28.4978576,Chinese,300,Indian Rupees(Rs.),No,No,1,0,0
1,New Delhi,77.02933475,28.68263808,"Mithai, Street Food",100,Indian Rupees(Rs.),No,No,1,0,0
1,New Delhi,77.19795015,28.53747419,South Indian,450,Indian Rupees(Rs.),No,Yes,1,2.6,113
1,Chennai,80.251865,13.066762,North Indian,1200,Indian Rupees(Rs.),Yes,Yes,3,4.6,1753
1,Noida,77.4132229,28.5070787,"North Indian, Chinese",600,Indian Rupees(Rs.),No,No,2,2.9,4
1,Agra,0,0,"Chinese, Italian, Continental, North Indian",1000,Indian Rupees(Rs.),No,No,3,4.2,166
216,Pocatello,-112.4516,42.8919,"American, Breakfast",30,Dollar($),No,No,3,3.6,121
1,Gurgaon,77.0475174,28.474015,"Bakery, Desserts",200,Indian Rupees(Rs.),No,No,1,3.1,7
1,New Delhi,0,0,Street Food,100,Indian Rupees(Rs.),No,No,1,3.1,5
189,Pretoria,28.230606,-25.772304,"Burger, Steak, Seafood",360,Rand(R),No,No,4,4.1,84
1,New Delhi,76.9910765,28.6127374,North Indian,150,Indian Rupees(Rs.),No,No,1,0,2
1,Bhubaneshwar,0,0,Cafe,500,Indian Rupees(Rs.),No,No,2,3.9,289
1,New Delhi,77.2479992,28.5832431,North Indian,400,Indian Rupees(Rs.),No,No,1,0,0
1,Gurgaon,77.0462096,28.4783985,Pizza,150,Indian Rupees(Rs.),No,No,1,3.5,32
1,New Delhi,77.16032244,28.69054589,"North Indian, Mughlai, Chinese, Italian",450,Indian Rupees(Rs.),No,No,1,3.2,11
216,Tampa Bay,-82.459339,27.99384,"Seafood, Steak",40,Dollar($),No,No,3,4,875
1,Gurgaon,77.0715115,28.509779,Cafe,450,Indian Rupees(Rs.),No,No,1,3.1,10
1,New Delhi,77.21914127,28.5642885,"North Indian, Chinese",600,Indian Rupees(Rs.),No,No,2,3.4,29
1,New Delhi,77.2978344,28.5436226,"Italian, Mexican, Lebanese, Continental",600,Indian Rupees(Rs.),No,Yes,2,3.8,170
1,New Delhi,77.2233575,28.6579744,"Ice Cream, Mithai, North Indian, Street Food",150,Indian Rupees(Rs.),No,No,1,4.3,521
1,Gurgaon,77.0184147,28.4726717,Ice Cream,200,Indian Rupees(Rs.),No,Yes,1,2.8,11
1,New Delhi,0,0,North Indian,200,Indian Rupees(Rs.),No,No,1,3.1,10
216,Pocatello,-112.432,42.9012,"American, Seafood, Steak",40,Dollar($),No,No,3,3.6,85
1,New Delhi,77.2365188,28.5496806,South Indian,500,Indian Rupees(Rs.),No,No,2,3.7,53
1,New Delhi,77.1281574,28.5452469,"Pizza, Fast Food",600,Indian Rupees(Rs.),No,Yes,2,2.5,6
1,Gurgaon,77.0821234,28.4670558,Street Food,350,Indian Rupees(Rs.),No,Yes,1,3.7,217
1,New Delhi,77.185331,28.56904,Chinese,4500,Indian Rupees(Rs.),Yes,No,4,4,424
1,Gurgaon,77.087339,28.4626259,Goan,2000,Indian Rupees(Rs.),Yes,Yes,4,4,429
1,New Delhi,77.08952788,28.85517216,"North Indian, Chinese",300,Indian Rupees(Rs.),No,No,1,0,0
1,New Delhi,0,0,"Fast Food, Street Food",150,Indian Rupees(Rs.),No,No,1,0,1
214,Sharjah,55.37637066,25.32578908,"Indian, North Indian, Chinese",65,Emirati Diram(AED),No,No,3,4.3,316
1,Dehradun,78.07715102,30.37220198,"Cafe, Mexican",500,Indian Rupees(Rs.),No,No,3,4.2,68
1,New Delhi,77.155099,28.5411702,"North Indian, Street Food, Mughlai",600,Indian Rupees(Rs.),No,No,2,3.5,206
1,Gurgaon,77.0812241,28.4671487,"Bakery, Fast Food",800,Indian Rupees(Rs.),No,No,2,2.4,88
1,Gurgaon,77.10288294,28.43849033,"Pizza, Mexican, Chinese, Italian",1000,Indian Rupees(Rs.),Yes,Yes,3,4,259
1,New Delhi,77.219739,28.566755,"Bakery, Desserts",350,Indian Rupees(Rs.),No,Yes,1,3.8,68
1,Noida,77.347652,28.5744592,Ice Cream,250,Indian Rupees(Rs.),No,No,1,0,0
1,New Delhi,77.2090133,28.5338079,"North Indian, Mughlai",800,Indian Rupees(Rs.),No,Yes,2,3.4,297
1,New Delhi,77.2430748,28.6464675,Finger Food,1000,Indian Rupees(Rs.),Yes,No,3,0,0
1,Noida,77.36520298,28.53920932,"North Indian, Mughlai, Chinese",500,Indian Rupees(Rs.),No,Yes,2,3.4,33
1,New Delhi,77.2418472,28.5332835,"Continental, Italian",1650,Indian Rupees(Rs.),Yes,No,3,3.8,42
1,Gurgaon,77.0186408,28.4721483,"Pizza, Fast Food",400,Indian Rupees(Rs.),No,No,1,2.9,8
1,Gurgaon,77.051332,28.4540489,North Indian,500,Indian Rupees(Rs.),No,No,2,2.7,7
1,New Delhi,77.227723,28.7003556,Chinese,450,Indian Rupees(Rs.),No,No,1,0,3
1,Dehradun,78.060221,30.340722,"North Indian, Chinese, Continental",1000,Indian Rupees(Rs.),No,No,4,3.9,173
1,New Delhi,77.2495406,28.5499322,Cafe,1800,Indian Rupees(Rs.),No,No,3,3.3,21
1,New Delhi,77.0006609,28.5910291,Bakery,400,Indian Rupees(Rs.),No,No,1,0,0
1,New Delhi,77.2234007,28.6567084,Beverages,100,Indian Rupees(Rs.),No,No,1,3.8,112
1,New Delhi,77.1350789,28.7153016,"South Indian, North Indian",250,Indian Rupees(Rs.),No,No,1,0,1
1,New Delhi,77.1166967,28.6395812,"Bakery, Fast Food",350,Indian Rupees(Rs.),No,Yes,1,3.4,33
1,New Delhi,77.2120877,28.7054069,"Chinese, Tibetan",400,Indian Rupees(Rs.),No,No,1,2.9,11
1,Gurgaon,77.0990285,28.4249219,Chinese,400,Indian Rupees(Rs.),No,Yes,1,2.2,46
1,New Delhi,77.2568858,28.5309441,"North Indian, Mughlai",350,Indian Rupees(Rs.),No,No,1,3.2,12
1,Gurgaon,77.1038389,28.487654,"Bakery, Desserts",600,Indian Rupees(Rs.),No,Yes,2,3,35
1,Pune,73.8289719,18.5309626,"Italian, Continental, Cafe",800,Indian Rupees(Rs.),Yes,Yes,2,4.1,997
1,New Delhi,77.1908861,28.5830663,"South Indian, North Indian, Chinese",300,Indian Rupees(Rs.),No,No,1,0,1
1,New Delhi,77.2054401,28.6777235,North Indian,300,Indian Rupees(Rs.),No,No,1,3.5,97
1,New Delhi,77.1936317,28.5694278,North Indian,650,Indian Rupees(Rs.),No,Yes,2,3.2,11
1,Gurgaon,77.083048,28.468314,"Continental, European, Asian, North Indian, Chinese, Italian",1600,Indian Rupees(Rs.),Yes,No,3,4.1,214
1,New Delhi,77.120533,28.550802,"Continental, American, North Indian",3000,Indian Rupees(Rs.),Yes,No,4,3.6,30
1,New Delhi,77.2683973,28.5613147,Beverages,400,Indian Rupees(Rs.),No,Yes,1,3.3,13
1,New Delhi,77.2261901,28.5998768,"North Indian, Lebanese, Mexican, Asian, Italian, American, European",1550,Indian Rupees(Rs.),Yes,No,3,4,1203
1,New Delhi,77.21796833,28.64574667,North Indian,800,Indian Rupees(Rs.),No,No,2,2.8,18
1,New Delhi,77.2053503,28.6987623,"North Indian, Mughlai, Chinese",550,Indian Rupees(Rs.),No,No,2,3.5,90
1,New Delhi,77.126764,28.5442619,"Mithai, Street Food",150,Indian Rupees(Rs.),No,No,1,0,1
189,Pretoria,28.23604667,-25.77074833,African,450,Rand(R),No,No,4,4.7,373
1,New Delhi,77.2534364,28.5363915,Fast Food,250,Indian Rupees(Rs.),No,No,1,3.2,16
1,Ludhiana,75.82181666,30.893244,"Cafe, Continental, Italian, Bakery",1100,Indian Rupees(Rs.),No,No,3,4.4,138
1,Gurgaon,77.0865747,28.4797207,Finger Food,1800,Indian Rupees(Rs.),No,No,3,2.4,53
1,Noida,77.32071754,28.56728731,"Street Food, Continental, South Indian, North Indian, Chinese",600,Indian Rupees(Rs.),No,No,2,3.9,204
1,New Delhi,77.25814529,28.53519117,"Street Food, North Indian, South Indian",200,Indian Rupees(Rs.),No,No,1,2.9,4
1,New Delhi,77.3225314,28.6818859,Mughlai,300,Indian Rupees(Rs.),No,Yes,1,3.1,14
1,New Delhi,77.31206504,28.66910046,"North Indian, Chinese",300,Indian Rupees(Rs.),No,Yes,1,3.6,35
1,New Delhi,77.1856029,28.6416685,North Indian,300,Indian Rupees(Rs.),No,No,1,2.8,117
1,Gurgaon,77.0886879,28.4953871,"Chinese, Japanese, Thai, Asian",1400,Indian Rupees(Rs.),Yes,Yes,3,3.5,384
1,New Delhi,77.18654,28.6431648,"Pizza, Fast Food",700,Indian Rupees(Rs.),No,No,2,2.9,119
1,New Delhi,0,0,"Mithai, Street Food",150,Indian Rupees(Rs.),No,No,1,0,0
1,Gurgaon,77.0795604,28.4609372,"North Indian, Mughlai, Chinese",600,Indian Rupees(Rs.),No,No,2,2.6,11
216,Columbus,-84.9876,32.4637,"Breakfast, Diner, Southern",10,Dollar($),No,No,1,3.7,123
1,New Delhi,77.2298726,28.5732507,"Mithai, Street Food",100,Indian Rupees(Rs.),No,No,1,3.1,10
1,Gurgaon,77.0966008,28.4834181,"Healthy Food, European, Continental, Salad",750,Indian Rupees(Rs.),No,Yes,2,3.6,461
1,New Delhi,77.2985251,28.5384507,Mithai,100,Indian Rupees(Rs.),No,No,1,0,1
1,Coimbatore,76.95295,11.010375,"North Indian, Biryani",1400,Indian Rupees(Rs.),No,No,3,4.2,299
1,Noida,77.38469392,28.56920274,"Street Food, North Indian",150,Indian Rupees(Rs.),No,No,1,3.1,8
166,Doha,51.52302034,25.28246661,Pakistani,80,Qatari Rial(QR),No,No,3,3.8,83
1,New Delhi,77.2853657,28.67692,"South Indian, Fast Food",250,Indian Rupees(Rs.),No,No,1,3.4,28
216,Rest of Hawaii,-157.8312476,21.2794952,"American, Asian, Burger",40,Dollar($),No,No,3,4.6,1078
1,New Delhi,77.1014529,28.6445351,"North Indian, Chinese",250,Indian Rupees(Rs.),No,No,1,0,0
1,Gurgaon,77.0880135,28.46157,"Chinese, Asian, Thai",650,Indian Rupees(Rs.),No,Yes,2,4.1,134
1,Noida,77.5145109,28.472462,"North Indian, Mughlai",600,Indian Rupees(Rs.),No,No,2,2.8,50
1,New Delhi,77.2166689,28.5477915,"North Indian, Continental, Salad",400,Indian Rupees(Rs.),No,No,1,3.6,43
1,New Delhi,77.21932769,28.52869471,"North Indian, Mughlai",1950,Indian Rupees(Rs.),Yes,Yes,3,4.2,1971
216,Dalton,-84.926258,34.474635,"Desserts, Sandwich",10,Dollar($),No,No,1,4.4,122
1,Gurgaon,77.0409296,28.411627,"North Indian, Mithai, Street Food",400,Indian Rupees(Rs.),No,No,1,2.6,30
1,New Delhi,77.1799022,28.5213242,"North Indian, Chinese",300,Indian Rupees(Rs.),No,No,1,0,0
1,New Delhi,77.218187,28.625445,"Bakery, Desserts",900,Indian Rupees(Rs.),No,No,2,3.8,45
1,New Delhi,77.0760342,28.6288818,"Pizza, Fast Food",700,Indian Rupees(Rs.),No,No,2,3.6,24
1,Gurgaon,77.0730853,28.4777065,"Korean, Chinese",2000,Indian Rupees(Rs.),Yes,No,4,3,21
1,Noida,77.358741,28.6048659,Cafe,650,Indian Rupees(Rs.),No,No,2,2.9,5
1,New Delhi,77.1618543,28.4997301,"North Indian, Chinese",200,Indian Rupees(Rs.),No,No,1,0,0
1,Gurgaon,77.0937234,28.4938093,Street Food,300,Indian Rupees(Rs.),No,No,1,3.3,14
1,New Delhi,77.2228913,28.6332275,"North Indian, Afghani, Mughlai",1500,Indian Rupees(Rs.),Yes,No,3,4.3,104
1,Faridabad,77.3279106,28.4105998,Cafe,500,Indian Rupees(Rs.),No,No,2,3.4,18
1,New Delhi,77.230142,28.5738142,"North Indian, Mughlai",1500,Indian Rupees(Rs.),Yes,Yes,3,4,183
1,New Delhi,77.1261797,28.7183841,North Indian,300,Indian Rupees(Rs.),No,No,1,3,76
1,New Delhi,77.09035702,28.61683827,"North Indian, Mughlai, Chinese",700,Indian Rupees(Rs.),No,Yes,2,3.4,60
1,New Delhi,77.2081473,28.5510151,"American, Fast Food, Salad, Healthy Food",500,Indian Rupees(Rs.),No,Yes,2,2.8,87
1,New Delhi,77.2426044,28.5992226,"Bakery, Fast Food",700,Indian Rupees(Rs.),No,No,2,3.6,44
1,New Delhi,77.1920054,28.6982616,"Beverages, Desserts",100,Indian Rupees(Rs.),No,No,1,0,0
1,Chennai,80.20881157,13.02977985,"North Indian, Mughlai, Chinese, South Indian",850,Indian Rupees(Rs.),Yes,Yes,2,4.2,841
1,Faridabad,77.2899232,28.4997177,"Mithai, Street Food, Chinese",100,Indian Rupees(Rs.),No,No,1,2.9,4
1,New Delhi,77.2051706,28.5570041,"North Indian, Mughlai",600,Indian Rupees(Rs.),No,Yes,2,3.4,121
1,New Delhi,77.1889094,28.6576903,"North Indian, Chinese",600,Indian Rupees(Rs.),No,Yes,2,3.2,71
1,Noida,77.3404494,28.5854737,North Indian,500,Indian Rupees(Rs.),No,No,2,2.6,32
1,New Delhi,0,0,"Bakery, Fast Food, Street Food",200,Indian Rupees(Rs.),No,No,1,2.9,7
1,Faridabad,77.3295018,28.3730138,"North Indian, Mughlai, Chinese",500,Indian Rupees(Rs.),No,No,2,0,0
1,New Delhi,77.20523,28.556941,"Pizza, Fast Food",500,Indian Rupees(Rs.),No,Yes,2,3.3,6
1,New Delhi,77.1940584,28.5541496,"North Indian, Chinese, Thai, Italian, Middle Eastern",1200,Indian Rupees(Rs.),Yes,Yes,3,3.5,384
1,New Delhi,77.1760003,28.554897,"North Indian, Mughlai",700,Indian Rupees(Rs.),No,No,2,2.8,17
1,New Delhi,77.2322198,28.6291908,"Fast Food, North Indian",600,Indian Rupees(Rs.),No,Yes,2,3.4,38
1,Gurgaon,77.0506317,28.4527412,"Fast Food, North Indian",250,Indian Rupees(Rs.),No,No,1,3.3,8
1,Noida,77.5281474,28.4578535,Fast Food,400,Indian Rupees(Rs.),No,Yes,1,3.5,83
1,Gurgaon,77.0347763,28.4758171,North Indian,400,Indian Rupees(Rs.),No,No,1,2.8,6
1,Gurgaon,77.0557718,28.4415695,Chinese,350,Indian Rupees(Rs.),No,No,1,0,0
1,New Delhi,77.0937942,28.6368398,"Fast Food, Burger",500,Indian Rupees(Rs.),No,No,2,3,5
216,Weirton,-80.529488,40.396043,"Burger, Greek, Sandwich",25,Dollar($),No,No,2,3.9,156
1,New Delhi,77.2194535,28.6183217,"North Indian, Lebanese, European, Mexican",2100,Indian Rupees(Rs.),Yes,No,4,3.9,299
1,New Delhi,77.2048445,28.6839604,Cafe,500,Indian Rupees(Rs.),No,No,2,2.8,25
1,New Delhi,0,0,Desserts,500,Indian Rupees(Rs.),No,No,2,0,0
1,New Delhi,77.1401987,28.7132994,"Beverages, Desserts",200,Indian Rupees(Rs.),No,No,1,0,2
1,Bangalore,77.64062494,12.97909556,"Bakery, Desserts, Cafe",800,Indian Rupees(Rs.),No,No,2,4,3533
1,New Delhi,77.3038718,28.6348699,"Bakery, Desserts",100,Indian Rupees(Rs.),No,No,1,0,2
1,New Delhi,77.1182068,28.6474974,"North Indian, Continental, Mughlai, Asian",1500,Indian Rupees(Rs.),No,No,3,4.1,2514
1,New Delhi,77.2825524,28.660629,Pizza,300,Indian Rupees(Rs.),No,No,1,0,0
1,New Delhi,77.219309,28.529136,"Ice Cream, Desserts",700,Indian Rupees(Rs.),No,No,2,4,649
1,New Delhi,77.2058841,28.51673,"North Indian, Mughlai, Chinese",350,Indian Rupees(Rs.),No,No,1,0,0
1,Noida,77.3210394,28.56800461,Desserts,250,Indian Rupees(Rs.),No,No,1,4.5,324
1,Noida,77.3839456,28.5712706,North Indian,300,Indian Rupees(Rs.),No,No,1,0,3
1,Noida,77.3692738,28.5781101,"Chinese, Mughlai",550,Indian Rupees(Rs.),No,Yes,2,3.6,49
1,Noida,77.3353589,28.5684579,Biryani,500,Indian Rupees(Rs.),No,Yes,2,3.5,144
1,New Delhi,77.16399444,28.55882222,"Fast Food, Chinese",400,Indian Rupees(Rs.),No,No,1,2.9,7
1,Gurgaon,77.07128014,28.5095226,"Healthy Food, Fast Food, Salad",400,Indian Rupees(Rs.),No,Yes,1,3.2,44
1,New Delhi,77.2358133,28.6413034,Fast Food,200,Indian Rupees(Rs.),No,No,1,0,0
1,Bangalore,77.5709967,13.0291977,"Pizza, Cafe, Italian",600,Indian Rupees(Rs.),No,No,2,4.6,627
1,New Delhi,77.2718928,28.677039,North Indian,400,Indian Rupees(Rs.),No,No,1,0,1
1,New Delhi,77.2488222,28.5403609,Beverages,100,Indian Rupees(Rs.),No,No,1,3.7,33
216,Savannah,-81.096647,32.052858,Burger,40,Dollar($),No,No,3,4.7,906
